Type,Year,Relative_abundance,Count,Total
QRDR_mutation,Total,0.95 ,3246,3434
QRDR_mutation,A/H53,0.09 ,5,55
QRDR_mutation,B1/H24,0.09 ,13,151
QRDR_mutation,B2/H24R,1.00 ,541,541
QRDR_mutation,B3/H24Rx_1,1.00 ,529,529
QRDR_mutation,B3/H24Rx_2,1.00 ,807,807
QRDR_mutation,B4/H24RxC,1.00 ,737,737
QRDR_mutation,B5/H24RxC,1.00 ,614,614
CTX-M-15,Total,0.58 ,1998,3434
CTX-M-15,A/H53,0.11 ,6,55
CTX-M-15,B1/H24,0.01 ,2,151
CTX-M-15,B2/H24R,0.48 ,262,541
CTX-M-15,B3/H24Rx_1,0.43 ,229,529
CTX-M-15,B3/H24Rx_2,0.53 ,425,807
CTX-M-15,B4/H24RxC,0.76 ,560,737
CTX-M-15,B5/H24RxC,0.84 ,514,614
Carbapenemase,Total,0.62 ,2143,3434
Carbapenemase,A/H53,0.05 ,3,55
Carbapenemase,B1/H24,0.01 ,1,151
Carbapenemase,B2/H24R,0.67 ,362,541
Carbapenemase,B3/H24Rx_1,0.19 ,103,529
Carbapenemase,B3/H24Rx_2,0.52 ,419,807
Carbapenemase,B4/H24RxC,0.89 ,653,737
Carbapenemase,B5/H24RxC,0.98 ,602,614
NDM-5,Total,0.39 ,1330,3434
NDM-5,A/H53,0.00 ,0,55
NDM-5,B1/H24,0.00 ,0,151
NDM-5,B2/H24R,0.28 ,150,541
NDM-5,B3/H24Rx_1,0.09 ,47,529
NDM-5,B3/H24Rx_2,0.38 ,307,807
NDM-5,B4/H24RxC,0.33 ,240,737
NDM-5,B5/H24RxC,0.95 ,586,614
OXA-181/232/484,Total,0.17 ,594,3434
OXA-181/232/484,A/H53,0.00 ,0,55
OXA-181/232/484,B1/H24,0.00 ,0,151
OXA-181/232/484,B2/H24R,0.25 ,137,541
OXA-181/232/484,B3/H24Rx_1,0.02 ,13,529
OXA-181/232/484,B3/H24Rx_2,0.06 ,47,807
OXA-181/232/484,B4/H24RxC,0.50 ,368,737
OXA-181/232/484,B5/H24RxC,0.05 ,29,614
HPI,Total,0.51 ,1746,3434
HPI,A/H53,0.71 ,39,55
HPI,B1/H24,0.26 ,40,151
HPI,B2/H24R,0.48 ,262,541
HPI,B3/H24Rx_1,0.25 ,132,529
HPI,B3/H24Rx_2,0.95 ,766,807
HPI,B4/H24RxC,0.06 ,47,737
HPI,B5/H24RxC,0.75 ,460,614
HPI+NDM-5,Total,0.25 ,871,3434
HPI+NDM-5,A/H53,0.00 ,0,55
HPI+NDM-5,B1/H24,0.00 ,0,151
HPI+NDM-5,B2/H24R,0.21 ,113,541
HPI+NDM-5,B3/H24Rx_1,0.02 ,8,529
HPI+NDM-5,B3/H24Rx_2,0.37 ,300,807
HPI+NDM-5,B4/H24RxC,0.01 ,6,737
HPI+NDM-5,B5/H24RxC,0.72 ,444,614
