Type,Year,Relative_abundance,Count,Total
QRDR_mutation,pre-2011,0.73 ,122,167
QRDR_mutation,2011-2013,0.92 ,151,165
QRDR_mutation,2014,0.94 ,119,126
QRDR_mutation,2015,0.94 ,196,209
QRDR_mutation,2016,0.97 ,287,295
QRDR_mutation,2017,0.93 ,257,277
QRDR_mutation,2018,0.92 ,281,305
QRDR_mutation,2019,0.97 ,348,360
QRDR_mutation,2020,0.97 ,264,272
QRDR_mutation,2021,0.97 ,304,315
QRDR_mutation,2022,0.99 ,253,255
QRDR_mutation,2023,0.98 ,352,358
QRDR_mutation,2024,1.00 ,154,154
CTX-M-15,pre-2011,0.66 ,110,167
CTX-M-15,2011-2013,0.50 ,83,165
CTX-M-15,2014,0.40 ,51,126
CTX-M-15,2015,0.55 ,115,209
CTX-M-15,2016,0.65 ,192,295
CTX-M-15,2017,0.54 ,150,277
CTX-M-15,2018,0.54 ,166,305
CTX-M-15,2019,0.56 ,201,360
CTX-M-15,2020,0.63 ,172,272
CTX-M-15,2021,0.50 ,156,315
CTX-M-15,2022,0.69 ,177,255
CTX-M-15,2023,0.64 ,228,358
CTX-M-15,2024,0.74 ,114,154
Carbapenemase,pre-2011,0.02 ,4,167
Carbapenemase,2011-2013,0.08 ,13,165
Carbapenemase,2014,0.61 ,77,126
Carbapenemase,2015,0.59 ,123,209
Carbapenemase,2016,0.63 ,185,295
Carbapenemase,2017,0.57 ,157,277
Carbapenemase,2018,0.64 ,196,305
Carbapenemase,2019,0.54 ,194,360
Carbapenemase,2020,0.72 ,195,272
Carbapenemase,2021,0.72 ,226,315
Carbapenemase,2022,0.86 ,219,255
Carbapenemase,2023,0.87 ,313,358
Carbapenemase,2024,0.97 ,149,154
NDM-5,pre-2011,0.00 ,0,167
NDM-5,2011-2013,0.01 ,2,165
NDM-5,2014,0.37 ,47,126
NDM-5,2015,0.22 ,47,209
NDM-5,2016,0.25 ,75,295
NDM-5,2017,0.39 ,107,277
NDM-5,2018,0.44 ,133,305
NDM-5,2019,0.39 ,141,360
NDM-5,2020,0.55 ,150,272
NDM-5,2021,0.45 ,141,315
NDM-5,2022,0.42 ,106,255
NDM-5,2023,0.58 ,208,358
NDM-5,2024,0.82 ,127,154
OXA-181/232/484,pre-2011,0.01 ,1,167
OXA-181/232/484,2011-2013,0.03 ,5,165
OXA-181/232/484,2014,0.23 ,29,126
OXA-181/232/484,2015,0.33 ,68,209
OXA-181/232/484,2016,0.26 ,78,295
OXA-181/232/484,2017,0.13 ,37,277
OXA-181/232/484,2018,0.16 ,49,305
OXA-181/232/484,2019,0.12 ,42,360
OXA-181/232/484,2020,0.15 ,40,272
OXA-181/232/484,2021,0.17 ,54,315
OXA-181/232/484,2022,0.20 ,50,255
OXA-181/232/484,2023,0.13 ,45,358
OXA-181/232/484,2024,0.08 ,13,154
HPI,pre-2011,0.16 ,27,167
HPI,2011-2013,0.38 ,62,165
HPI,2014,0.53 ,67,126
HPI,2015,0.43 ,89,209
HPI,2016,0.36 ,106,295
HPI,2017,0.51 ,142,277
HPI,2018,0.54 ,164,305
HPI,2019,0.51 ,185,360
HPI,2020,0.62 ,169,272
HPI,2021,0.59 ,187,315
HPI,2022,0.50 ,127,255
HPI,2023,0.64 ,228,358
HPI,2024,0.71 ,110,154
HPI+NDM-5,pre-2011,0.00 ,0,167
HPI+NDM-5,2011-2013,0.01 ,1,165
HPI+NDM-5,2014,0.31 ,39,126
HPI+NDM-5,2015,0.11 ,23,209
HPI+NDM-5,2016,0.10 ,30,295
HPI+NDM-5,2017,0.26 ,71,277
HPI+NDM-5,2018,0.27 ,83,305
HPI+NDM-5,2019,0.24 ,85,360
HPI+NDM-5,2020,0.40 ,108,272
HPI+NDM-5,2021,0.26 ,81,315
HPI+NDM-5,2022,0.25 ,64,255
HPI+NDM-5,2023,0.46 ,164,358
HPI+NDM-5,2024,0.62 ,96,154
