Year,Clone,Prevalence,Count,Total
pre-2011,A/H53,0.071856287,12,167
2011-2013,A/H53,0.024242424,4,165
2014,A/H53,0.047619048,6,126
2015,A/H53,0.019138756,4,209
2016,A/H53,0.003389831,1,295
2017,A/H53,0.014440433,4,277
2018,A/H53,0.013114754,4,305
2019,A/H53,0.013888889,5,360
2020,A/H53,0.018382353,5,272
2021,A/H53,0.012698413,4,315
2022,A/H53,0.003921569,1,255
2023,A/H53,0,0,358
2024,A/H53,0,0,154
pre-2011,B1/H24,0.209580838,35,167
2011-2013,B1/H24,0.066666667,11,165
2014,B1/H24,0.031746032,4,126
2015,B1/H24,0.04784689,10,209
2016,B1/H24,0.023728814,7,295
2017,B1/H24,0.057761733,16,277
2018,B1/H24,0.06557377,20,305
2019,B1/H24,0.022222222,8,360
2020,B1/H24,0.022058824,6,272
2021,B1/H24,0.025396825,8,315
2022,B1/H24,0.007843137,2,255
2023,B1/H24,0.019553073,7,358
2024,B1/H24,0,0,154
pre-2011,B2/H24R,0.077844311,13,167
2011-2013,B2/H24R,0.181818182,30,165
2014,B2/H24R,0.365079365,46,126
2015,B2/H24R,0.162679426,34,209
2016,B2/H24R,0.118644068,35,295
2017,B2/H24R,0.133574007,37,277
2018,B2/H24R,0.170491803,52,305
2019,B2/H24R,0.188888889,68,360
2020,B2/H24R,0.084558824,23,272
2021,B2/H24R,0.155555556,49,315
2022,B2/H24R,0.160784314,41,255
2023,B2/H24R,0.111731844,40,358
2024,B2/H24R,0.279220779,43,154
pre-2011,B3/H24Rx_1,0.574850299,96,167
2011-2013,B3/H24Rx_1,0.454545455,75,165
2014,B3/H24Rx_1,0.19047619,24,126
2015,B3/H24Rx_1,0.181818182,38,209
2016,B3/H24Rx_1,0.155932203,46,295
2017,B3/H24Rx_1,0.155234657,43,277
2018,B3/H24Rx_1,0.127868852,39,305
2019,B3/H24Rx_1,0.138888889,50,360
2020,B3/H24Rx_1,0.088235294,24,272
2021,B3/H24Rx_1,0.063492063,20,315
2022,B3/H24Rx_1,0.058823529,15,255
2023,B3/H24Rx_1,0.05027933,18,358
2024,B3/H24Rx_1,0.006493506,1,154
pre-2011,B3/H24Rx_2,0.05988024,10,167
2011-2013,B3/H24Rx_2,0.242424242,40,165
2014,B3/H24Rx_2,0.119047619,15,126
2015,B3/H24Rx_2,0.200956938,42,209
2016,B3/H24Rx_2,0.206779661,61,295
2017,B3/H24Rx_2,0.238267148,66,277
2018,B3/H24Rx_2,0.203278689,62,305
2019,B3/H24Rx_2,0.211111111,76,360
2020,B3/H24Rx_2,0.257352941,70,272
2021,B3/H24Rx_2,0.273015873,86,315
2022,B3/H24Rx_2,0.239215686,61,255
2023,B3/H24Rx_2,0.335195531,120,358
2024,B3/H24Rx_2,0.357142857,55,154
pre-2011,B4/H24RxC,0.005988024,1,167
2011-2013,B4/H24RxC,0.03030303,5,165
2014,B4/H24RxC,0.246031746,31,126
2015,B4/H24RxC,0.377990431,79,209
2016,B4/H24RxC,0.362711864,107,295
2017,B4/H24RxC,0.14801444,41,277
2018,B4/H24RxC,0.193442623,59,305
2019,B4/H24RxC,0.202777778,73,360
2020,B4/H24RxC,0.191176471,52,272
2021,B4/H24RxC,0.225396825,71,315
2022,B4/H24RxC,0.349019608,89,255
2023,B4/H24RxC,0.223463687,80,358
2024,B4/H24RxC,0.103896104,16,154
pre-2011,B5/H24RxC,0,0,167
2011-2013,B5/H24RxC,0,0,165
2014,B5/H24RxC,0,0,126
2015,B5/H24RxC,0.009569378,2,209
2016,B5/H24RxC,0.128813559,38,295
2017,B5/H24RxC,0.252707581,70,277
2018,B5/H24RxC,0.226229508,69,305
2019,B5/H24RxC,0.222222222,80,360
2020,B5/H24RxC,0.338235294,92,272
2021,B5/H24RxC,0.244444444,77,315
2022,B5/H24RxC,0.180392157,46,255
2023,B5/H24RxC,0.259776536,93,358
2024,B5/H24RxC,0.253246753,39,154
